[kkalyan3@helios1 log]$ cat new_grid_exp1_cifar10_21_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.688311  Std Dev (0.094543) with param: {'hu_1': 200, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.297156  Std Dev (0.214586) with param: {'hu_1': 250, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.698222  Std Dev (0.079731) with param: {'hu_1': 250, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.277733  Std Dev (0.207822) with param: {'hu_1': 300, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.714844  Std Dev (0.072732) with param: {'hu_1': 300, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.344689  Std Dev (0.187108) with param: {'hu_1': 350, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.704689  Std Dev (0.084023) with param: {'hu_1': 350, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.280000  Std Dev (0.210256) with param: {'hu_1': 400, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.1}
INFO:root:Mean Acc : 0.688133  Std Dev (0.090106) with param: {'hu_1': 400, 'epochs': 130, 'act_layer1': 'sigmoid', 'drop_out1': 0, 'lr': 0.01}
INFO:root:Mean Acc : 0.590067  Std Dev (0.144995) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.691667  Std Dev (0.116979) with param: {'hu_1': 100, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.572044  Std Dev (0.150159) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.705800  Std Dev (0.136139) with param: {'hu_1': 150, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.649000  Std Dev (0.110037) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.705889  Std Dev (0.105830) with param: {'hu_1': 200, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.467622  Std Dev (0.341287) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.701978  Std Dev (0.098366) with param: {'hu_1': 250, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.413933  Std Dev (0.226588) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.696311  Std Dev (0.115594) with param: {'hu_1': 300, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.448356  Std Dev (0.331654) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.701889  Std Dev (0.099123) with param: {'hu_1': 350, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.318067  Std Dev (0.230612) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.698622  Std Dev (0.108309) with param: {'hu_1': 400, 'epochs': 50, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.677156  Std Dev (0.099591) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.684133  Std Dev (0.114237) with param: {'hu_1': 100, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
INFO:root:Mean Acc : 0.632689  Std Dev (0.127268) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.1}
INFO:root:Mean Acc : 0.714600  Std Dev (0.107931) with param: {'hu_1': 150, 'epochs': 90, 'act_layer1': 'sigmoid', 'drop_out1': 0.5, 'lr': 0.01}
