[kkalyan3@helios1 log]$ cat new_grid_exp2_mnist_5_model1.out
INFO:root:##### NEW EXPERIMENT #####
INFO:root:Mean Acc : 0.683306  Std Dev (0.424245) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.016111  Std Dev (0.022785) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.684667  Std Dev (0.425266) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 130, 'drop_out1': 0, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.656361  Std Dev (0.406882) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.688917  Std Dev (0.428271) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687028  Std Dev (0.426878) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.688333  Std Dev (0.427859) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687667  Std Dev (0.427328) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687917  Std Dev (0.427505) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.317333  Std Dev (0.183584) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.688722  Std Dev (0.428075) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.161167  Std Dev (0.066283) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687917  Std Dev (0.427505) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.179861  Std Dev (0.086649) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.688500  Std Dev (0.427918) with param: {'hu_1': 350, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.249944  Std Dev (0.191654) with param: {'hu_1': 400, 'lr': 0.1, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.688028  Std Dev (0.427584) with param: {'hu_1': 400, 'lr': 0.01, 'epochs': 50, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.649722  Std Dev (0.402962) with param: {'hu_1': 100, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687889  Std Dev (0.427485) with param: {'hu_1': 100, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.686389  Std Dev (0.426425) with param: {'hu_1': 150, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687167  Std Dev (0.426975) with param: {'hu_1': 150, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.686972  Std Dev (0.426839) with param: {'hu_1': 200, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.686722  Std Dev (0.426661) with param: {'hu_1': 200, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.287611  Std Dev (0.167076) with param: {'hu_1': 250, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.650583  Std Dev (0.403762) with param: {'hu_1': 250, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.223667  Std Dev (0.120772) with param: {'hu_1': 300, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.687722  Std Dev (0.427428) with param: {'hu_1': 300, 'lr': 0.01, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
INFO:root:Mean Acc : 0.277333  Std Dev (0.160266) with param: {'hu_1': 350, 'lr': 0.1, 'epochs': 90, 'drop_out1': 0.5, 'act_layer1': 'sigmoid'}
